fish_code,trial_id,experiment_month,cohort_id,silvering_stage,trial_order,experimental_condition,water_medium,temperature_c,tl_used_cm,bw_used_g,swimming_speed_m_s,swimming_speed_tl_s,mo2_mg_o2_kg_h,cot_mg_o2_kg_km,is_lowflow_0_1_m_s,is_active_speed,is_uopt_speed,used_for_active_metrics,speed_step_status,table_s2_uopt_m_s,table_s2_mincot_mg_o2_kg_km,table_s2_mo2_at_uopt_mg_o2_kg_h,uopt_position_flag,active_metrics_status,source_raw_mo2_row,source_raw_cot_row,notes
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,75.4,713,0.4,0.5305039787798409,84.78497638310245,58.87845582159891,False,True,False,True,active_measured,0.5,54.324749207966356,97.78454857433944,interior_minimum,valid,23,24,
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,75.4,713,0.5,0.6631299734748011,97.78454857433944,54.324749207966356,False,True,True,True,uopt_speed,0.5,54.324749207966356,97.78454857433944,interior_minimum,valid,23,24,Uopt/minCOT occurs at an interior observed active speed.
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,75.4,713,0.6,0.7957559681697612,133.7132261415989,61.90427136185134,False,True,False,True,active_measured,0.5,54.324749207966356,97.78454857433944,interior_minimum,valid,23,24,
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,75.4,713,0.7,0.9283819628647214,137.3108898506592,54.48844835343619,False,True,False,True,active_measured,0.5,54.324749207966356,97.78454857433944,interior_minimum,valid,23,24,
Eel 12,E12SW18,2012-01,2011,Y2,1,SW18,Seawater,18,75.4,713,0.8,1.0610079575596818,176.6153891874193,61.32478791229836,False,True,False,True,active_measured,0.5,54.324749207966356,97.78454857433944,interior_minimum,valid,23,24,
Eel 13,E13SW18,2012-01,2011,Y2,1,SW18,Seawater,18,79.5,862,0.1,0.12578616352201258,59.325434904988334,164.7928747360787,True,False,False,False,lowflow_0.1_m_s,0.6,50.40420752030172,108.87308824385171,highest_observed_speed,boundary_estimate,24,25,
Eel 13,E13SW18,2012-01,2011,Y2,1,SW18,Seawater,18,79.5,862,0.4,0.5031446540880503,80.62890135034817,55.99229260440845,False,True,False,True,active_measured,0.6,50.40420752030172,108.87308824385171,highest_observed_speed,boundary_estimate,24,25,
Eel 13,E13SW18,2012-01,2011,Y2,1,SW18,Seawater,18,79.5,862,0.5,0.6289308176100629,96.02176933503465,53.34542740835258,False,True,False,True,active_measured,0.6,50.40420752030172,108.87308824385171,highest_observed_speed,boundary_estimate,24,25,
Eel 13,E13SW18,2012-01,2011,Y2,1,SW18,Seawater,18,79.5,862,0.6,0.7547169811320754,108.87308824385171,50.40420752030172,False,True,True,True,uopt_speed,0.6,50.40420752030172,108.87308824385171,highest_observed_speed,boundary_estimate,24,25,Uopt/minCOT occurs at highest observed speed; treated as boundary_estimate in Table S2.
Eel 14,E14SW18,2012-01,2011,Y2,1,SW18,Seawater,18,77.6,718,0.1,0.1288659793814433,48.33594207325913,134.26650575905313,True,False,False,False,lowflow_0.1_m_s,0.4,45.167619093837054,65.04137149512536,lowest_active_speed,boundary_estimate,25,26,
Eel 14,E14SW18,2012-01,2011,Y2,1,SW18,Seawater,18,77.6,718,0.4,0.5154639175257733,65.04137149512536,45.167619093837054,False,True,True,True,uopt_speed,0.4,45.167619093837054,65.04137149512536,lowest_active_speed,boundary_estimate,25,26,Uopt/minCOT occurs at lowest active speed; treated as boundary_estimate in Table S2.
Eel 14,E14SW18,2012-01,2011,Y2,1,SW18,Seawater,18,77.6,718,0.5,0.6443298969072165,132.39719159164375,73.55399532869097,False,True,False,True,active_measured,0.4,45.167619093837054,65.04137149512536,lowest_active_speed,boundary_estimate,25,26,
Eel 14,E14SW18,2012-01,2011,Y2,1,SW18,Seawater,18,77.6,718,0.6,0.7731958762886598,157.0250942072419,72.69680287372309,False,True,False,True,active_measured,0.4,45.167619093837054,65.04137149512536,lowest_active_speed,boundary_estimate,25,26,
Eel 15,E15SW18,2012-01,2011,Y2,1,SW18,Seawater,18,78.2,777,0.1,0.1278772378516624,66.98648729820337,186.07357582834268,True,False,False,False,lowflow_0.1_m_s,0.4,55.098437677489564,79.34175025558498,lowest_active_speed,boundary_estimate,26,27,
Eel 15,E15SW18,2012-01,2011,Y2,1,SW18,Seawater,18,78.2,777,0.4,0.5115089514066496,79.34175025558498,55.098437677489564,False,True,True,True,uopt_speed,0.4,55.098437677489564,79.34175025558498,lowest_active_speed,boundary_estimate,26,27,Uopt/minCOT occurs at lowest active speed; treated as boundary_estimate in Table S2.
Eel 15,E15SW18,2012-01,2011,Y2,1,SW18,Seawater,18,78.2,777,0.5,0.639386189258312,106.49360620892762,59.16311456051534,False,True,False,True,active_measured,0.4,55.098437677489564,79.34175025558498,lowest_active_speed,boundary_estimate,26,27,
Eel 15,E15SW18,2012-01,2011,Y2,1,SW18,Seawater,18,78.2,777,0.6,0.7672634271099744,130.1919301506684,60.27404173642056,False,True,False,True,active_measured,0.4,55.098437677489564,79.34175025558498,lowest_active_speed,boundary_estimate,26,27,
